,Date,Symbol,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
19402,2016-03-02,AAPL,100.51,100.89,99.64,100.75,33169560.0,0.0,1.0,97.63033621140998,97.999449013722,96.785262164013,97.863460086554,33169560.0
19887,2016-03-03,AAPL,100.58,101.7099,100.45,101.5,36955742.0,0.0,1.0,97.698330674994,98.795858452183,97.572055242624,98.59197219638,36955742.0
20372,2016-03-04,AAPL,102.37,103.75,101.37,103.01,46055100.0,0.0,1.0,99.437046243777,100.77750852586,98.46569676400999,100.05870991083,46055100.0
20857,2016-03-07,AAPL,102.39,102.83,100.96,101.87,35915810.0,0.0,1.0,99.45647323337299,99.88386700446999,98.06744347730499,98.95137150389401,35915810.0
21342,2016-03-08,AAPL,100.78,101.76,100.4,101.03,31182194.0,0.0,1.0,97.892600570947,98.844523061119,97.523487768636,98.13543794088899,31182194.0
21827,2016-03-09,AAPL,101.31,101.58,100.27,101.12,27201683.0,0.0,1.0,98.407415795224,98.66968015476101,97.39721233626601,98.222859394068,27201683.0
22312,2016-03-10,AAPL,101.41,102.24,100.15,101.17,33513577.0,0.0,1.0,98.50455074320101,99.310770811408,97.28065039869401,98.271426868057,33513577.0
22797,2016-03-11,AAPL,102.24,102.28,101.5,102.26,27408237.0,0.0,1.0,99.310770811408,99.34962479059799,98.59197219638,99.330197801003,27408237.0
23282,2016-03-14,AAPL,101.91,102.91,101.78,102.52,25076062.0,0.0,1.0,98.99022548308399,99.961574962852,98.863950050715,99.582748665742,25076062.0
23767,2016-03-15,AAPL,103.96,105.18,103.85,104.58,40067734.0,0.0,1.0,100.98149191661,102.16653828192,100.87464347383002,101.58372859406,40067734.0
24252,2016-03-16,AAPL,104.61,106.31,104.59,105.97,38303493.0,0.0,1.0,101.61286907846001,103.26416319406,101.59344208886,102.93390437094,38303493.0
24737,2016-03-17,AAPL,105.52,106.47,104.96,105.8,34420705.0,0.0,1.0,102.49679710504,103.41957911081998,101.95284139636999,102.76877495938,34420705.0
25222,2016-03-18,AAPL,106.34,106.5,105.19,105.92,44205171.0,0.0,1.0,103.29330367844999,103.44871959522,102.17625177672,102.88533689695,44205171.0
25707,2016-03-21,AAPL,105.93,107.65,105.1401,105.91,35502678.0,0.0,1.0,102.89505039174999,104.56577149694999,102.12778143768,102.87562340215,35502678.0
26192,2016-03-22,AAPL,105.25,107.29,105.21,106.72,32444375.0,0.0,1.0,102.23453274551001,104.21608568423001,102.19567876632,103.66241648076999,32444375.0
26677,2016-03-23,AAPL,106.48,107.07,105.9,106.13,25703495.0,0.0,1.0,103.42929260562,104.00238879868,102.86590990736,103.0893202877,25703495.0
27162,2016-03-24,AAPL,105.47,106.25,104.89,105.67,26132955.0,0.0,1.0,102.44822963105999,103.20588222527,101.88484693279,102.64249952701,26132955.0
27647,2016-03-28,AAPL,106.0,106.19,105.06,105.19,19411372.0,0.0,1.0,102.96304485533001,103.14760125649,102.04997634435,102.17625177672,19411372.0
28132,2016-03-29,AAPL,104.89,107.79,104.88,107.68,31190083.0,0.0,1.0,101.88484693279,104.70176042411998,101.87513343799,104.59491198134,31190083.0
28617,2016-03-30,AAPL,108.65,110.42,108.6,109.56,45601149.0,0.0,1.0,105.53712097671999,107.2564095559,105.48855350273001,106.4210490033,45601149.0
29102,2016-03-31,AAPL,109.72,109.9,108.88,108.99,25888449.0,0.0,1.0,106.57646492007,106.75130782643,105.76053135705999,105.86737979984001,25888449.0
29587,2016-04-01,AAPL,108.78,110.0,108.2,109.99,25873950.0,0.0,1.0,105.66339640909,106.8484427744,105.10001371082,106.83872927959999,25873950.0
